from,to ,relationship,collab,conflict
T,LC,2,2,3
LC,TRI,1,1,0
LIL,SD,6,1,3
LIL,SN,6,1,0
LIL,SOO,6,1,0
LIL,T,6,1,0
M,LK,6,1,0
LK,MCK,1,1,0
MW,LK,6,1,0
LK,NB,1,1,0
T,LK,2,2,3
TL,LK,6,1,0
LK,TRI,1,1,0
LL,T,1,1,0
OFTB,LMB,6,2,0
M,PD,1,1,3
RAL,M,6,1,0
SD,M,6,1,3
M,TL,6,1,0
M,TT,6,1,0
M,TWO,6,1,0
YL,M,6,1,0
MC,PD,6,1,0
MCH,T,1,1,0
NB,MCK,1,1,0
TRI,MCK,1,1,0
MK,MSC,1,1,0
TWO,MK,0,0,0
ML,SN,4,2,0
TD,ML,6,1,0
TR,ML,6,1,0
QP,MSC,1,1,0
TWO,MSC,0,0,0
MUSS,T,1,2,0
NAP,T,1,2,0
NAP,YAK,1,1,0
TRI,NB,1,1,0
ND,OUT,6,1,0
SAM,ND,6,1,0
ND,SD,6,1,0
ND,T,6,1,0
TD,ND,6,1,0
TLOR,ND,6,1,0
OFTB,OUT,6,1,0
OFTB,T,1,1,0
OUT,SD,6,1,0
OUT,T,1,1,0
TR,OUT,6,1,0
OUT,YAK,0,2,0
RAL,PD,6,1,0
SD,PD,6,1,3
SJ,PD,6,1,0
SN,PD,6,1,3
T,PD,2,2,1
TAN,PD,6,1,0
TWO,PD,6,1,0
YL,PD,1,1,0
TT,PL,0,2,0
TWO,QP,0,0,0
RBX,SD,7,2,3
RE,T,6,2,0
SAM,SD,6,1,0
TLOR,SAM,6,1,0
SD,SH,6,2,3
SD,T,1,1,0
SD,TD,1,1,0
TLOR,SD,1,1,0
TMY,SD,6,1,0
TR,SD,6,1,0
T,SG,1,1,0
SG,TD,6,1,0
TR,SG,6,1,0
SJ,TWO,6,1,0
STY,SL,1,1,0
TL,SL,0,2,0
SN,T,1,1,0
TL,STY,0,2,0
TDP,T,1,1,0
TLOR,T,6,1,0
TMY,T,6,1,0
TP,T,6,1,0
TR,T,6,1,0
T,YAK,1,1,0
YON,T,1,1,0
TAN,TT,6,1,0
TR,TD,6,1,0
TP,TR,6,1,0
YON,YAK,1,1,0
